(u'travelocity.com', 'travelocity-europe.com.', 'travelocity-europe.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelocyty.com.', 'travelocyty.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'tzavelocity.com.', 'tzavelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'tryvelocity.com.', 'tryvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcoity.com.', 'travelcoity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.asia.', 'travelocity.asia', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'travbelocity.com.', 'travbelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.in.', 'travelocity.in', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'travelocity.today.', 'travelocity.today', 'wrongTLD', '176.32.230.252')
(u'travelocity.com', 'travelocity.android.', 'travelocity.android', 'wrongTLD', '127.0.53.53')
(u'travelocity.com', 'tavelocity.org.', 'tavelocity.org', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveolcity.co.uk.', 'traveolcity.co.uk', u'typo', '64.106.229.221')
(u'travelocity.com', 'travelcity.com.ec.', 'travelcity.com.ec', u'typo', '198.74.58.205')
(u'travelocity.com', 'traveloaity.com.', 'traveloaity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocitry.com.', 'travelocitry.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.ru.', 'travelocity.ru', 'wrongTLD', '194.58.112.174')
(u'travelocity.com', 'travelocityp.com.', 'travelocityp.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcoity.co.uk.', 'travelcoity.co.uk', u'typo', '64.106.229.221')
(u'travelocity.com', 'travelocty.com.', 'travelocty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveolcity.ca.', 'traveolcity.ca', u'typo', '208.73.211.177')
(u'travelocity.com', 'tavelocity.net.', 'tavelocity.net', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocita.com.', 'travelocita.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.vg.', 'travelocity.vg', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocijty.com.', 'travelocijty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloci6y.com.', 'traveloci6y.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelobity.com.', 'travelobity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocity.nl.', 'travelocity.nl', 'wrongTLD', '54.72.9.51')
(u'travelocity.com', 'tavelocity.com.', 'tavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloocity.com.', 'traveloocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelncity.com.', 'travelncity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travdlocity.com.', 'travdlocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'trabelocity.net.', 'trabelocity.net', u'typo', '23.22.216.234')
(u'travelocity.com', 'travelosity.ca.', 'travelosity.ca', u'bits', '85.159.233.62')
(u'travelocity.com', 'travrlocity.com.', 'travrlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'teavelocity.com.', 'teavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.net.', 'travelacity.net', u'homo', '23.22.216.234')
(u'travelocity.com', 'travelociyt.com.', 'travelociyt.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelopcity.com.', 'travelopcity.com', u'typo', '103.224.182.241')
(u'travelocity.com', 'travelocityo.com.', 'travelocityo.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'home-travelocity.com.', 'home-travelocity.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'traveloc8ty.com.', 'traveloc8ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'teravelocity.com.', 'teravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocit5y.com.', 'travelocit5y.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocdity.com.', 'travelocdity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.biz.', 'travelocity.biz', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelcity.vn.', 'travelcity.vn', u'typo', '119.81.46.25')
(u'travelocity.com', 'trzavelocity.com.', 'trzavelocity.com', u'typo', '52.52.64.247')
(u'travelocity.com', 'travelocit6.com.', 'travelocit6.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.cz.', 'travelocity.cz', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'traveolcity.ca.', 'traveolcity.ca', u'typo', '208.73.210.202')
(u'travelocity.com', 'travelicity.ca.', 'travelicity.ca', u'homo', '54.236.162.93')
(u'travelocity.com', 'travelocity.mobi.', 'travelocity.mobi', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'trovelocity.com.', 'trovelocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocity.com.pl.', 'travelocity.com.pl', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocity.mn.', 'travelocity.mn', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelpcity.com.', 'travelpcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloicty.com.', 'traveloicty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.co.uk.', 'travelacity.co.uk', u'homo', '64.106.229.221')
(u'travelocity.com', 'travelcity.de.', 'travelcity.de', u'typo', '204.74.99.101')
(u'travelocity.com', 'trave4locity.com.', 'trave4locity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelockty.com.', 'travelockty.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'traqvelocity.com.', 'traqvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloc9ity.com.', 'traveloc9ity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityv.com.', 'travelocityv.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocfity.com.', 'travelocfity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tracelocity.com.', 'tracelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocify.com.', 'travelocify.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocitg.com.', 'travelocitg.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traelocity.ca.', 'traelocity.ca', u'typo', '64.182.91.176')
(u'travelocity.com', 'travelocuity.com.', 'travelocuity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.com.ph.', 'travelocity.com.ph', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocity.cc.', 'travelocity.cc', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelcity.news.', 'travelcity.news', u'typo', '193.189.74.191')
(u'travelocity.com', 't5avelocity.com.', 't5avelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelofity.com.', 'travelofity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travel9ocity.com.', 'travel9ocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trqvelocity.com.', 'trqvelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travulocity.com.', 'travulocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocvity.com.', 'travelocvity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.uk.', 'travelocity.uk', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'trsavelocity.com.', 'trsavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelicity.net.', 'travelicity.net', u'homo', '52.86.163.26')
(u'travelocity.com', 'ravelocity.com.', 'ravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travel0ocity.com.', 'travel0ocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travellocity.net.', 'travellocity.net', u'typo', '204.74.99.101')
