(u'engadget.com', 'www-engadget.com.', 'www-engadget.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadget.cz.', 'engadget.cz', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.ch.', 'engadget.ch', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadge4t.com.', 'engadge4t.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.ch.', 'engadget.ch', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engaadget.com.', 'engaadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadger.com.', 'engadger.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgets.co.uk.', 'engadgets.co.uk', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.nl.', 'engadget.nl', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadzet.com.pl.', 'engadzet.com.pl', u'typo', '207.200.74.38')
(u'engadget.com', 'engadget.com.mx.', 'engadget.com.mx', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engdget.com.', 'engdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.asia.', 'engadget.asia', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.co.kr.', 'engadget.co.kr', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadzet.com.pl.', 'engadzet.com.pl', u'typo', '149.174.107.97')
(u'engadget.com', 'ingadget.com.', 'ingadget.com', u'homo', '165.160.13.20')
(u'engadget.com', 'engazdget.com.', 'engazdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.com.cn.', 'engadget.com.cn', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadvet.com.', 'engadvet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.com.cn.', 'engadget.com.cn', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engadgedt.com.', 'engadgedt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.online.', 'engadget.online', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.biz.', 'engadget.biz', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadget.biz.', 'engadget.biz', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engadgety.com.', 'engadgety.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget-audiophile.com.', 'engadget-audiophile.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engdaget.com.', 'engdaget.com', u'typo', '185.53.178.8')
(u'engadget.com', 'engadgfet.com.', 'engadgfet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'erngadget.com.', 'erngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaxdget.com.', 'engaxdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ngadget.com.', 'ngadget.com', u'typo', '69.172.201.153')
(u'engadget.com', 'engadget.com.cn.', 'engadget.com.cn', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadget.live.', 'engadget.live', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'elgadget.eu.', 'elgadget.eu', u'bits', '85.13.138.68')
(u'engadget.com', 'engadgtet.com.', 'engadgtet.com', u'typo', '103.224.212.241')
(u'engadget.com', 'enbgadget.com.', 'enbgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.com.cn.', 'engadget.com.cn', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadget.biz.', 'engadget.biz', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadget.biz.', 'engadget.biz', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadget.com.es.', 'engadget.com.es', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget-100.com.', 'engadget-100.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadgeth.com.', 'engadgeth.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.ph.', 'engadget.ph', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget-hd.com.', 'engadget-hd.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engadget.click.', 'engadget.click', 'wrongTLD', '104.27.183.66')
(u'engadget.com', 'engadget.name.', 'engadget.name', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'egadget.be.', 'egadget.be', u'typo', '217.21.190.147')
(u'engadget.com', 'engadget.eu.', 'engadget.eu', 'wrongTLD', '212.237.23.91')
(u'engadget.com', 'engadget.tech.', 'engadget.tech', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.160')
(u'engadget.com', 'engadget.co.kr.', 'engadget.co.kr', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engadget.site.', 'engadget.site', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'wngadget.com.', 'wngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.co.kr.', 'engadget.co.kr', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadget-audio.com.', 'engadget-audio.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engadge5.com.', 'engadge5.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadhet.com.', 'engadhet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.163')
(u'engadget.com', 'engadget.cz.', 'engadget.cz', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engaadget.com.', 'engaadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadeget.com.', 'engadeget.com', u'typo', '103.224.212.222')
(u'engadget.com', 'engadget.co.kr.', 'engadget.co.kr', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadget.com.mx.', 'engadget.com.mx', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.166')
(u'engadget.com', 'egadget.kz.', 'egadget.kz', u'typo', '195.210.46.49')
(u'engadget.com', 'engazdget.com.', 'engazdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.click.', 'engadget.click', 'wrongTLD', '104.27.182.66')
(u'engadget.com', 'emgadget.ru.', 'emgadget.ru', u'homo', '176.9.134.54')
(u'engadget.com', 'www-engadget.com.', 'www-engadget.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engadgedt.com.', 'engadgedt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgwet.com.', 'engadgwet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'erngadget.com.', 'erngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engaddget.com.', 'engaddget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ngadget.co.uk.', 'ngadget.co.uk', u'typo', '104.31.75.8')
(u'engadget.com', 'engadget.tw.', 'engadget.tw', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.jp.', 'engadget.jp', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'egadget.de.', 'egadget.de', u'typo', '103.224.182.245')
(u'engadget.com', 'engadget.com.es.', 'engadget.com.es', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'elgadget.ch.', 'elgadget.ch', u'bits', '217.26.53.188')
(u'engadget.com', 'engadget.su.', 'engadget.su', 'wrongTLD', '81.177.49.40')
(u'engadget.com', 'engadget-hd.com.', 'engadget-hd.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engaqdget.com.', 'engaqdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgdt.com.', 'engadgdt.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engadget.site.', 'engadget.site', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'ejgadget.com.', 'ejgadget.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engadtget.com.', 'engadtget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'wngadget.com.', 'wngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadhet.com.', 'engadhet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget-audio.com.', 'engadget-audio.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadgeet.com.', 'engadgeet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadge5.com.', 'engadge5.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ongadget.com.', 'ongadget.com', u'homo', '160.153.162.12')
(u'engadget.com', 'engafdget.com.', 'engafdget.com', u'typo', '165.160.15.20')
